topic	status	working_decision_or_state	guard_or_next_action
airlift_dec8_state	WORKING-CLOSE	Southern ~72 assigned /55 ready /43 routine-ready after airborne reservation	Do not backflow YE deliveries
airlift_e5_courier	WORKING-CLOSE	Southern E5 courier-duty 4 assigned/3 ready; ~200-400kg urgent load class	Consumes existing E5 sorties
airlift_e6_courier	WORKING-CLOSE	Southern E6 Twin courier-duty 6 assigned/5 ready; ~0.4t mission-bay class	Cannot carry complete E6 engine
p2_1941_inventory	WORKING-CLOSE	P1=3; P2 produced48 / extant45 center; Southern P2 4 assigned/3 ready	Limited utility product, not bulk military transport
ki76_1941_close	WORKING-CLOSE	21 accepted /15 service-released; Southern6 assigned/5 ready; Dec8 3 present/2 ready	Separate from P2 hardware
h6k_transport_subset	WORKING-CLOSE	18 national transport-duty/configured /16 released /12 ready; Southern6 assigned/4 ready	Do not consume ordinary patrol fleet twice
h8k1_transport_1941	WORKING-CLOSE	3 development aircraft class /2 flight-test ready /0 normal transport service	No mass 1941 H8K transport
l5si_status	WORKING-CLOSE	Restored as 22t/5t trunk-transport limited-service program; 6 physical /2 limited-service by YE	Not mass 1941 fleet
l5si_first_flights	WORKING	X1 1941-03-26; X2 1941-05-18	Scenario-achieved chronology, not recovered archival date
l5si_industry	WORKING	Showa prime; Asai propulsion/QA; Nakajima support; ~8 early-L2D-equivalent slots deferred as opportunity cost	Do not count deferred L2D simultaneously
l5si_perf	WORKING-CLOSE	22t MTOW; OEW11.4t; 2x1870shp continuous; cruise330; max390 continuous/415 short	Do not restore old 440-455 automatically
l5si_range	WORKING-CLOSE	5t/main ~1950km; 3t/main~2050; 3t/aux~2800; ferry/aux~3200; hot20t+5t~1100	Planning legs with reserve, not placard range
l5si_tropical_guard	WORKING-CLOSE	Routine tropical takeoff cap ~20t until local runway/temp/engine-out gate closes	Major prepared fields only
l5si_southern	WORKING	2 limited-service allocated /1 immediate-ready; ~4-9t/week high-priority cargo class	No daily strategic-airlift extrapolation
at3_1941_airlift	CLOSED-ZERO	AT-3 remains design / full-scale ground-article development; zero operational 1941 transport aircraft	Next requested audit reopens technical development, not 1941 OOB
next_gate	NEXT	AT-3 / Material No.3 heavy-transport re-audit	Use current Material3/E6-M-T/E7-M-T/large-airframe parents
